ID,Name,Parameter,Language,Frequency,Confidence,References
7A-yim,No glottalized consonants,Glottalized Consonants,Yimas,,,Foley 1991
7A-yor,No glottalized consonants,Glottalized Consonants,Yoruba,,,Bamgbose 1966
7A-yct,Ejectives and implosives,Glottalized Consonants,Yucatec,,,Straight 1976
7A-yuc,Ejectives and glottalized resonants,Glottalized Consonants,Yuchi,,,Crawford 1973;Ballard 1975
7A-ycn,No glottalized consonants,Glottalized Consonants,Yucuna,,,Schauer and Schauer 1967
7A-yko,No glottalized consonants,Glottalized Consonants,Yukaghir (Kolyma),,,Maslova 1999
7A-ytu,No glottalized consonants,Glottalized Consonants,Yukaghir (Tundra),,,Krejnovich 1968c;Krejnovich 1958
7A-yul,Implosives only,Glottalized Consonants,Yulu,,,Boyeldieu 1987
7A-yus,No glottalized consonants,Glottalized Consonants,Yupik (Siberian),,,Krauss 1975
7A-yur,Ejectives and glottalized resonants,Glottalized Consonants,Yurok,,,Robins 1958
7A-zan,No glottalized consonants,Glottalized Consonants,Zande,,,Tucker and Hackett 1959
7A-zqc,No glottalized consonants,Glottalized Consonants,Zoque (Copainalá),,,Wonderly 1951a
7A-zul,Ejectives and implosives,Glottalized Consonants,Zulu,,,Ziervogel et al. 1981;Poulos and Msimang 1998;Poulos and Bosch 1997;Doke 1961;Canonici 1989;Doke 1926
7A-zun,Ejectives only,Glottalized Consonants,Zuni,,,Walker 1972;Newman 1965
